text,label
a sutileza desse cara tbm é de se admirar Até eu daria block,1
A LavaJato devia ganhar o Oscar na categoria de melhor Teoria da Conspiração. Quanto trabalho pra inventar tanta coisa...,1
 2:30 da manhã e britadeiras na Av Bernadino de campos não deixando ninguém dormir? Parabéns hein!,1
 55 min esperando antes de conseguir sair da Central. Parabéns pelo serviço bem prestado! ,1
 claro kkkk todo mundo tem dinheiro sobrando ,1
 Diogo Barbosa arremessou um copo de água mineral isso foi uma tentativa de assassinato ,1
 Dr. Azzoni explica as alterações no novo regramento dos cartões de crédito … economia dinheiro cartão,0
 INDICADORES: Veja o resumo das agendas econômicas para esta quarta-feira - China Economia Eua Japão PIB,0
 Inflação deve cair com redução de preços de combustíveis,0
 isso foi uma pergunta retórica! Kkkkkkkkk ,1
 minha família tem tanta consideração por mim que até me surpreendo ,1
 oficializa proposta de € 1 bi para compra da britânica The Body Shop → Bussiness Economia Natura JornaldosCanyons JdC,0
 PQ TIPO O CAPS ON JÁ MOSTRA QUE ESTOU CALMA ,1
 Que nada. Isso é teoria da conspiração!! ,1
 Que rápido!!... ironía,1
 sim! Tu pode ficar em crise por dias e a médica mandar tu tomar 4 medicamentos de uma só vez. Legal né? ,1
 sou ateu graças a deus °-°,1
 Tão bom quando a gente erra uma letra na hora de digitar,1
 vossa excelência é daltônico? Pq São Paulo fica realmente linda nesses 50 tons de cinza!  CadeAsCores?,1
??? História hj n é obrigatório no ensino médio! Então nem é tão importante assim saber quem é Don Pedro! ,1
¿Os acordaís de esto? Análisis técnico de SP 500 Dos  elnuevoparquet,0
¿Os acordaís de esto? Vídeo análisis técnico del Ibe  elnuevoparquet,0
.  diz no Twitter: candidatura do Brasil à OCDE é bem recebida   economia,0
. libera hoje consulta ao primeiro lote de restituição do Imposto de Renda 2017  Economia ,0
"..alcançando um patamar de 825 milhões de dólares”. ComércioExterior Economia Pernambuco""",0
..e,0
"..para que o produto brasileiro fique mais competitivo no mercado internacional”. ComércioExterior Economia""",0
"..que inicialmente previa exportar durante todo o ano”. ComércioExterior Economia""",0
‘É fundamental para os Açores a continuidade do PRORURAL+’  economia joãoponte,0
‘Não é necessária paragem temporária de pesca por motivos biológicos’ nos Açores  economia,0
“..enquanto os semimanufaturados aumentaram 15% e os manufaturados,0
“..tem importantes efeitos multiplicadores sobre a renda e emprego na economia”. ComércioExterior Economia,0
“A situação está sob controle. Só não sabemos de quem.”,1
“Desde 2015 as empresas buscam o mercado externo como uma saída para a recessão”. ComércioExterior Economia,0
“Mais recentemente,0
“Mundo Marca Açores”em exibição nos Estados Unidos da América  economia mundomarcaaçores,0
“No âmbito dos manufaturados destaca-se o desempenho do setor automotivo”. ComércioExterior Economia,0
“Perder clientes é fácil,0
“Somente este ano,0
+ de 49% d economia ThermaProHardcore Integralmédica Compare preços d suplementos e economize d verdade!,0
"> : Inflação anual cai além do esperado"" |  Economia """,0
11 mil? Só isso? Então corre porque tá barato pra caramba!  ,1
3 dicas para impulsionar seu negóciosem alto investimento  economia,0
390 horas de trabalho de parto. Que lindo! ,1
5:50 da manhã sinto uma enorme felicidade em acordar nesse horário... sério mesmo! ,1
58% dos consumidores planejam reduzir os gastos em junho. Veja os motivos: CNDL SPC Consumo Economia ,0
A arte de não confiar faz taooo bem! ,1
A burocracia chega ao limite quando para solicitar um serviço da Informática,1
A cara da felicidade por ficar sábado e domingo trabalhando num roteiro.  ,1
A chuva sempre chega nos melhores momentos né ,1
A Cracolândia sob a ótica do Direito Comercial e da Economia – existe solução? saudepublica drogas seguranca,0
A internet hoje ta de parabéns! Irônia,1
A lua de mel tem que ser em Buenos Aires mesmo,0
A mais nova batalha judicial da Boeing  economia,0
A melhor  parte de  ser  irônica  é  quando a pessoa  não  consegue  perceber. .. e vc atesta  a incapacidade do indivíduo ,1
A parte que eu mais gosto do processo digital é ter que ir até o fórum p pedir q o processo vá à conclusão... ,1
A pessoa tem uma memória tão boa tão boa que esquece até o email que usou para a conta do twitter. ,1
A preocupação de certas pessoas é tanta q até dói.. ,1
A reforma do ensino médio ficou ótima! Parabéns para os pedreiros envolvidos,1
A reforma trabalhista já é um grande avanço para alavancar a economia do pais e gerar empregos,0
A sério?! As pessoas tendem a organizar-se espacialmente em grupos étnicos-nações-culturais próximas?!  ,1
A única guerra que eu topo participar é a guerra civil e já vou logo avisando: estou do lado do Capitão América!  ,1
aaah realmente quem não quer ao lado um homem agressivo,1
acho massa a pessoa aconselhando sobre o que nem ela faz kkkkkkkkkkkkkkkkkkkk ,1
Acho que cheguei a dormir naquelas cadeiras super confortáveis do hospital,1
acho que fazem muito bem em combater violência com violência,1
Ações da JBS lideram quedas na bolsa após nova operação da PF  notícias Economia ,0
Acordar com enxaqueca: alegria sem fim.,1
Acordar com o funk do vizinho: não há jeito melhor para saudar esse dia lindo . Queria star morta,1
acordar com um pesadelo é a melhor maneira de acordar ,1
Acordo de leniência da JBS gera polêmica entre funcionários do BNDES  economia,0
Açores apresentam modelo de gestão da administração pública regional em Lisboa  economia,0
Açores presentes na Feira Nacional de Agricultura  economia 54ªfeiranacionaldeagricultura,0
"Adora quando demora pra responder""""",1
Adorei a motivação da Mulher Maravilha no fim do filme,1
"Adorei a propaganda em que os brancos curtem a happy hour e o negro é garçom e os trata como reis"". """,1
Adorei esse escândalo político brasileiro! A mídia quase esqueceu que aqui se mata gente a rodo! Parece até que Belém é segura!  pas,1
Adorei minhas 4hrs de sono,1
Adoro a parte em que quase ninguém responde ao meu convite de aniversário,1
Adoro a puta da vida ,1
Adoro acordar às 2:30 e não conseguir Voltar a dormir ,1
Adoro as pessoas que adoram falar da minha vida  ,1
Adoro começar a segunda doente. ,1
Adoro como o atendimento por telefone da XXXXX é eficiente. Será que vou esperar 56min q nem na última vez? ¬¬,1
Adoro esperar horas pra ser atendida pelo médico,1
adoro essa gente que não faz as coisas e não deixa os outros fazerem <3 ,1
Adoro essas pessoas que dizem que mudaram porque hoje são pessoas completamente diferentes... Dá 5 minutos e volta a ser quem era. ,1
Adoro esses programas de causos que passam a tarde inteira enrolando pra ter um desfecho já à noite no finalzinho. ,1
adoro estar constipado ,1
Adoro ficar/me sentir sozinha. ,1
Adoro gente q diz q ta chegando e passa 1h e 30min para aparecer!  souimpaciente,1
Adoro ir assistir filme de terror no cinema e ser o unico a gritar nos momentos tensos ,1
Adoro nossa tradição de iniciar tudo uma hora depois do combinado. Marquemos às 18:30 e iniciemos às 19:30. ,1
Adoro pessoas q só conversam comigo por imagens,1
Adoro quando as pessoas são muito explícitas nas mensagens ,1
Adoro quando as pessoas se preocupam mais com a infelicidade dos outros do que com a sua própria felicidade ,1
Adoro quando demoram imenso tempo a responder ,1
Adoro quando ela me ignora. ,1
Adoro quando meu intestino começa a doer quando to no bus ;)  efeitodasfibras,1
Adoro quando NAO me respondem ou dão satisfação  ,1
Adoro que me ignorem ...  ,1
Adoro sair de casa pra nada. ,1
Adoro ser ignorada,1
Adoro ser ignorada não aja dúvida  ,1
Adoro ta assistindo uma coisa e chegar mainha dizendo o que vai acontecer porque ela já assistiu ,1
Adoro vir trabalhar pra fazer nada o dia todo. ,1
"Adoro"" os bom dias de todos nos vários grupos do Whatsapp....  Onde esse pessoal arruma tanta imagem G-zuis??""",1
Aff passei em tudo é sempre tem q ter uma matéria infeliz Economia,0
Agências da Caixa abrem hoje para saque da conta inativa do FGTS  economia,0
Agências da Caixa abrem neste sábado para saque da conta inativa do FGTS  notícias Economia ,0
Agora,0
Agora a internet da XXXXX melhorou. Dos 35mb contratados está entregando 0.72 Mbps. \0/ ,1
Agora o placar é o que menos importa,0
AGORA VAI: Barragem que garantirá água para Itabuna tem 84% obras  Economia ,0
Agora vai... realmente excelente contratação. ,1
AGU quer acesso a termos de acordo de leniência da J&F  notícias Economia ,0
Ah a sociedade! Sempre mostrando como pode ser melhor... sqn ,1
Ah que saudade dessas aventuras que deram em tragédia. ,1
Ah se nego soubesse o quanto eu adoro quando ficam pedindo satisfação da minha vida. AMO ,1
Ai como é bom ficar de madrugada corrigindo provas. ,1
Aiii adorei comer com abelhas,1
Aiiiii aiiiiii como essa vida é linda não é mesmo? ,1
Ainda bem q teve impeachment né? Brasil tá beeeem melhor agora. Parabéns aos envolvidos batedores de panela. ES e RJ agradecem. ,1
Ainda bem que eu não quero me aposentar integralmente ,1
Ainda bem que os gaúchos não são brasileiros  ,1
Amanha reunião de estágio..que bom....,1
Amo acordar cedo... ,1
Amo demais quando a pessoa me ignora... amo!  ,1
Amo escutar desaforo de coisa que eu não tenho nada a ver.  ,1
Amo esperar ônibus. Ainda mais quando estou com fome e debaixo de um sol quente.  ,1
Amo estar ocupado.... ,1
amo ficar sem dinheiro amo essa vida de pobre amo muito nossa ,1
Amo quando faltam 10min para acabar a aula e o professor começa a encher o quadro de anotações ,1
Amo quando tou a ver uma serie/filme e a minha mãe começa a aspirar o chão ,1
Amo quando vou espirrar e mordo a língua. ,1
Amo quem me deixa falando sozinho ,1
amo site com nome metido a engraçado querendo vomitar regra do que é bonito ou feio na moda ,1
Amo vc dor de cabeça,1
Amoo chegar cedo nos lugares e ficar sozinha! ,1
Animação em pessoa por voltar a trabalhar hoje,1
Apartamentos de três quartos para a família em Vila Velha  notícias Economia ,0
Apesar de Temer & Meirelles garantirem que a inflação acabou meirelles ForaTemer Temer julgamentonoTSE UOL Folha G1 Economia ,0
Apoio WesleySafadao pra ser o próximo presidente do Brasil pq ele é só 1% vagabundo...,1
Após saída do acordo de Paris,0
Apresentação do projeto de ampliação da .TVSH economia Lionesa LeçadoBalio,0
Aquela vontade gigante de estudar Físico Química ,1
Aquele momento em que você não percebeu que se cortou e vai expremer um limão! NOSSA SENHORA,1
Aqueles dias pré-aniversário que você fica morto.......... Estou totalmente animado para a falsidade que virá. ,1
As festas de fim de ano são sempre taooo interessantes ..... ,1
"As incertezas no campo político agravam esse quadro de recuperação"". Economia""",0
As lâmpadas de Led são 80% mais econômicas,0
As pessoas são surpreendentes... parabéns ,1
As prioridades da câmara dos deputados em tempos de crise são realmente impressionantes ... ,1
